,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
13,1983,3.1%,-1.0%,1.8%,4.9%,0.6%,0.9%,-1.7%,-0.5%,2.0%,-2.6%,3.2%,-2.0%,8.9%
14,1984,0.3%,-0.9%,-0.2%,-0.9%,-3.0%,0.9%,-0.7%,5.6%,1.0%,1.4%,0.2%,-0.0%,3.3%
15,1985,4.8%,-1.5%,3.1%,0.1%,3.9%,1.4%,0.8%,0.9%,-1.9%,2.5%,4.2%,2.3%,22.3%
16,1986,1.8%,4.9%,5.2%,0.1%,0.9%,2.2%,-2.4%,5.0%,-1.6%,0.7%,0.4%,-2.3%,15.5%
17,1987,5.6%,2.8%,1.2%,-0.7%,-0.1%,2.1%,2.1%,0.8%,-1.6%,-9.4%,-1.2%,2.6%,3.5%
18,1988,2.8%,1.8%,0.7%,-0.1%,-0.4%,3.0%,-0.7%,-1.4%,1.4%,1.9%,-1.3%,0.3%,8.1%
19,1989,2.2%,-1.1%,0.9%,2.6%,2.1%,2.0%,3.2%,-0.3%,0.2%,-0.2%,2.3%,0.2%,14.9%
20,1990,-3.1%,0.4%,-0.9%,-1.9%,4.2%,0.0%,0.5%,-4.5%,-1.0%,-1.9%,3.8%,1.7%,-3.0%
21,1991,2.1%,3.9%,1.8%,0.7%,2.3%,-2.0%,1.7%,1.6%,1.0%,0.8%,-1.1%,5.0%,19.2%
22,1992,0.4%,1.3%,-1.6%,0.0%,1.6%,-0.2%,3.6%,-1.2%,1.5%,-0.7%,1.9%,2.0%,8.9%
23,1993,1.8%,1.3%,1.8%,0.1%,2.1%,1.5%,2.3%,1.3%,-0.2%,2.0%,-1.6%,1.9%,15.3%
24,1994,1.5%,-2.0%,-2.5%,-0.8%,0.6%,-1.3%,1.7%,1.8%,-1.2%,-0.5%,-1.9%,1.2%,-3.4%
25,1995,1.0%,2.7%,1.7%,1.5%,3.6%,1.4%,0.8%,1.5%,1.9%,-0.2%,2.9%,1.8%,22.7%
26,1996,1.9%,-1.2%,0.1%,0.2%,0.8%,-0.1%,-1.8%,1.1%,2.1%,2.0%,3.5%,-0.7%,7.8%
27,1997,0.0%,1.6%,-2.9%,1.6%,3.6%,1.9%,3.8%,-1.6%,3.8%,-1.4%,0.9%,1.4%,13.3%
28,1998,1.4%,2.1%,2.1%,0.9%,-1.5%,1.8%,-2.6%,-5.1%,5.2%,1.5%,2.0%,1.8%,9.5%
29,1999,0.4%,-3.1%,0.2%,3.0%,-1.3%,1.2%,-1.7%,-0.9%,2.4%,1.0%,-0.2%,1.4%,2.2%
30,2000,-1.5%,2.4%,1.9%,-1.1%,-0.7%,2.8%,0.1%,3.1%,-1.6%,-0.4%,-0.3%,2.8%,7.5%
31,2001,1.2%,-1.4%,-2.1%,2.5%,0.7%,0.9%,-0.0%,0.1%,-2.2%,1.2%,1.0%,1.1%,3.0%
32,2002,0.7%,1.0%,1.4%,1.1%,0.5%,-2.3%,-4.2%,2.1%,-1.3%,0.3%,2.0%,1.6%,2.9%
33,2003,0.0%,-1.2%,-0.8%,3.8%,6.0%,-0.9%,-0.2%,2.7%,1.2%,2.3%,2.0%,3.2%,19.5%
34,2004,0.8%,1.0%,1.8%,-4.8%,1.1%,1.6%,-1.5%,2.2%,1.5%,1.5%,3.2%,1.0%,9.5%
35,2005,-1.3%,1.1%,-1.2%,-0.2%,1.7%,2.2%,0.9%,0.4%,0.7%,-1.8%,3.3%,1.4%,7.4%
36,2006,3.8%,0.1%,1.4%,2.5%,-1.8%,-0.6%,1.1%,1.4%,0.1%,2.3%,2.9%,-0.4%,13.3%
37,2007,0.9%,0.7%,0.1%,1.7%,0.5%,-1.2%,-1.1%,1.5%,3.2%,2.5%,-1.1%,0.9%,8.6%
38,2008,1.0%,0.2%,-1.0%,-0.0%,0.5%,-2.0%,0.4%,-0.1%,-0.9%,-10.6%,3.2%,6.3%,-3.9%
39,2009,-6.1%,-4.6%,3.3%,2.4%,3.2%,-1.2%,4.6%,2.2%,3.5%,-1.4%,5.1%,-0.8%,9.8%
40,2010,-0.9%,2.1%,2.3%,3.6%,-1.7%,-1.1%,1.3%,0.6%,4.0%,1.4%,0.6%,2.7%,16.0%
41,2011,-1.4%,3.2%,0.5%,3.3%,-0.2%,-1.8%,1.6%,1.8%,-2.9%,4.4%,0.8%,-1.1%,8.2%
42,2012,4.4%,0.1%,0.2%,0.4%,-2.1%,1.9%,1.0%,1.9%,1.7%,-1.4%,0.4%,0.1%,8.7%
43,2013,1.4%,-0.3%,1.8%,-0.1%,-1.2%,-2.8%,3.4%,-1.2%,1.4%,2.0%,0.4%,0.2%,5.0%
44,2014,0.5%,3.2%,-0.2%,0.2%,0.6%,2.4%,-2.0%,2.7%,-3.3%,1.9%,1.1%,1.4%,8.6%
45,2015,2.3%,-0.6%,-0.2%,-0.9%,0.0%,-1.5%,-0.6%,-1.7%,-1.1%,3.1%,-0.9%,-1.7%,-3.8%
46,2016,0.0%,3.1%,2.6%,1.5%,-0.6%,3.6%,2.6%,-0.5%,0.0%,-2.5%,-0.2%,0.9%,10.8%
47,2017,1.5%,2.0%,-0.3%,1.0%,0.1%,0.5%,0.9%,1.2%,0.5%,0.3%,1.4%,0.8%,10.3%
48,2018,1.3%,-2.8%,0.4%,-0.2%,1.3%,,,,,,,,-0.1%
