,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
29,2005,-1.4%,4.0%,-1.5%,-2.0%,1.3%,2.2%,3.3%,1.7%,2.3%,-3.0%,2.6%,2.5%,12.4%
30,2006,5.1%,-0.4%,2.8%,2.8%,-3.3%,0.3%,0.9%,1.6%,0.8%,2.6%,2.7%,1.7%,18.9%
31,2007,1.4%,-0.5%,1.5%,2.8%,2.4%,-1.4%,-2.3%,0.6%,4.1%,3.2%,-3.1%,-0.4%,8.2%
32,2008,-2.9%,0.7%,0.1%,0.1%,0.9%,-0.4%,-0.3%,-0.1%,-0.5%,-0.7%,0.8%,0.5%,-1.6%
33,2009,-0.4%,-0.1%,0.3%,-0.3%,-0.2%,-0.2%,2.0%,1.9%,1.7%,-1.8%,3.9%,1.1%,8.4%
34,2010,-4.8%,2.3%,6.3%,0.8%,-8.2%,-3.0%,4.4%,-2.6%,2.2%,3.2%,-2.1%,5.5%,2.9%
35,2011,2.2%,3.4%,-0.8%,4.0%,-1.7%,-1.6%,-1.5%,-6.3%,-4.5%,1.3%,-0.1%,0.6%,-5.4%
36,2012,0.8%,1.4%,1.5%,-0.3%,-2.0%,1.0%,0.8%,0.9%,1.8%,-0.4%,1.2%,2.5%,9.3%
37,2013,3.7%,-0.4%,2.4%,3.1%,-1.3%,-1.7%,4.6%,-2.6%,4.4%,3.6%,1.1%,1.9%,20.1%
38,2014,-3.1%,4.9%,-0.4%,1.0%,1.8%,1.5%,-1.8%,2.0%,-2.6%,1.4%,1.3%,0.1%,6.0%
39,2015,-0.2%,1.6%,-0.5%,-0.4%,0.9%,-1.5%,1.3%,-4.2%,-0.2%,0.8%,0.1%,-0.2%,-2.8%
40,2016,-0.8%,0.0%,-0.0%,-0.0%,0.7%,1.4%,1.2%,-0.2%,0.5%,-1.6%,0.4%,1.7%,3.4%
41,2017,1.9%,1.9%,1.2%,1.3%,2.0%,0.7%,2.1%,0.0%,2.2%,1.8%,1.6%,1.0%,19.3%
42,2018,4.3%,-3.4%,-1.3%,1.1%,2.0%,,,,,,,,2.4%
