,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
29,2000,-6.4%,2.7%,3.8%,-5.3%,-2.5%,3.9%,-4.4%,6.5%,-5.5%,-0.7%,1.6%,1.8%,-5.2%
30,2001,1.6%,0.9%,0.5%,-0.4%,0.6%,0.4%,2.2%,1.1%,1.2%,2.1%,-1.4%,-0.6%,8.4%
31,2002,0.8%,1.0%,-1.7%,1.9%,0.8%,0.9%,1.2%,1.7%,1.6%,-0.5%,-0.0%,2.1%,10.2%
32,2003,0.1%,1.4%,-0.1%,0.8%,1.9%,-0.2%,-3.6%,2.1%,-1.3%,6.5%,2.5%,8.7%,19.8%
33,2004,1.1%,2.3%,0.1%,-3.4%,1.1%,3.4%,-4.3%,1.2%,2.1%,3.5%,6.1%,4.8%,19.0%
34,2005,-1.9%,3.8%,-2.6%,-1.6%,-0.9%,1.4%,3.0%,3.8%,3.7%,-3.2%,2.3%,5.2%,13.3%
35,2006,5.8%,-0.7%,4.0%,4.8%,-3.8%,-0.1%,0.8%,2.5%,0.2%,3.7%,3.1%,3.2%,25.8%
36,2007,1.4%,-0.1%,2.9%,3.7%,2.4%,-0.3%,-2.3%,-0.6%,5.3%,4.2%,-3.6%,-3.0%,10.0%
37,2008,-8.0%,-0.2%,0.1%,0.3%,-1.3%,-0.2%,0.4%,0.7%,-1.8%,-2.3%,3.0%,6.7%,-3.0%
38,2009,-2.0%,-1.1%,1.1%,0.5%,0.7%,0.4%,1.3%,1.2%,1.2%,0.0%,3.9%,0.7%,8.2%
39,2010,-5.1%,0.3%,6.4%,-3.0%,-7.9%,-5.2%,6.8%,-4.5%,9.0%,3.8%,0.0%,6.7%,5.6%
40,2011,2.3%,3.5%,0.0%,2.7%,-2.2%,-1.2%,-2.6%,-5.5%,-6.9%,10.9%,-0.4%,1.0%,0.5%
41,2012,4.6%,4.3%,3.2%,-0.7%,-6.2%,-0.2%,1.2%,2.5%,2.5%,-1.8%,0.6%,0.7%,10.8%
42,2013,3.7%,-1.5%,3.8%,1.7%,-3.0%,-2.9%,5.2%,-3.0%,3.0%,3.1%,3.0%,2.6%,16.2%
43,2014,-3.5%,4.6%,0.8%,0.7%,2.3%,2.1%,-1.3%,3.9%,-1.4%,2.4%,2.7%,-0.3%,13.5%
44,2015,-3.0%,5.6%,-1.6%,1.0%,1.3%,-2.0%,2.3%,-6.1%,-2.7%,-0.1%,0.4%,-1.7%,-7.0%
45,2016,-5.2%,0.9%,0.7%,0.4%,1.7%,0.3%,3.6%,0.1%,0.0%,-1.7%,3.7%,2.0%,6.5%
46,2017,1.8%,3.9%,0.1%,1.0%,1.4%,0.4%,2.7%,-0.0%,2.4%,1.7%,0.7%,1.4%,18.7%
47,2018,5.0%,-4.8%,-0.8%,1.5%,1.6%,,,,,,,,2.3%
