,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
26,1999,1.7%,-4.0%,1.4%,1.3%,-0.6%,0.9%,-2.3%,-0.8%,-1.8%,1.3%,-0.5%,1.2%,-2.4%
27,2000,-2.4%,0.9%,2.5%,0.7%,-0.4%,2.2%,3.0%,1.6%,-1.3%,-1.0%,-1.0%,3.9%,8.9%
28,2001,0.6%,0.5%,0.2%,-0.8%,0.9%,2.4%,1.6%,2.4%,-0.5%,-1.7%,0.3%,0.9%,7.0%
29,2002,0.7%,2.6%,1.6%,-1.0%,2.2%,-2.9%,-1.9%,1.8%,1.1%,-2.6%,0.9%,4.5%,7.0%
30,2003,0.7%,-0.4%,-0.7%,1.6%,5.7%,-0.6%,3.1%,2.8%,1.6%,2.3%,3.0%,4.3%,26.0%
31,2004,1.0%,0.5%,3.9%,-8.6%,3.7%,1.5%,-1.3%,4.3%,1.0%,3.1%,4.5%,1.7%,15.7%
32,2005,-4.8%,2.8%,-1.7%,1.8%,0.9%,2.3%,2.5%,-0.5%,-0.6%,-2.1%,4.8%,1.5%,6.7%
33,2006,6.6%,0.4%,3.4%,3.3%,-2.4%,0.2%,2.6%,1.4%,0.0%,3.5%,4.5%,-0.8%,24.9%
34,2007,4.3%,-0.7%,-0.6%,2.2%,0.1%,-4.1%,-3.1%,1.6%,4.8%,3.2%,-0.5%,1.8%,8.8%
35,2008,2.7%,2.5%,-1.1%,-3.1%,-0.9%,2.2%,0.1%,-2.1%,0.4%,-1.2%,9.9%,8.0%,18.1%
36,2009,-7.0%,-1.0%,3.6%,-4.1%,-2.7%,-2.0%,3.7%,5.9%,5.3%,-0.9%,8.5%,0.7%,9.2%
37,2010,-3.6%,4.0%,5.3%,4.9%,-3.4%,-2.8%,3.8%,-0.1%,6.1%,4.1%,0.0%,4.6%,24.7%
38,2011,-0.2%,4.7%,-0.1%,5.9%,-0.5%,-2.4%,2.7%,0.3%,-9.7%,6.2%,-0.5%,-1.2%,4.2%
39,2012,6.0%,0.3%,2.2%,0.6%,-5.7%,2.6%,2.3%,0.4%,-0.7%,-1.9%,-0.0%,0.8%,6.8%
40,2013,2.7%,-0.9%,2.1%,4.4%,-3.5%,-2.2%,1.3%,-3.8%,2.4%,3.5%,-1.7%,0.3%,4.4%
41,2014,2.3%,3.4%,0.7%,2.0%,2.6%,1.0%,-0.2%,3.9%,-3.2%,5.0%,2.6%,1.6%,23.7%
42,2015,4.6%,-1.4%,0.4%,-2.8%,-0.5%,-3.6%,4.2%,-4.4%,0.8%,1.6%,-0.6%,0.2%,-1.9%
43,2016,1.8%,1.3%,3.2%,0.9%,-1.4%,5.4%,3.3%,-2.3%,-0.4%,-3.5%,-2.2%,2.1%,8.2%
44,2017,0.8%,3.0%,-1.0%,0.9%,0.9%,1.2%,0.9%,1.1%,-0.5%,0.2%,2.0%,1.1%,11.0%
45,2018,1.5%,-2.2%,-0.3%,-0.6%,0.9%,,,,,,,,-0.7%
