,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
14,1987,1.3%,2.0%,2.0%,-1.1%,0.7%,2.5%,1.9%,-0.2%,-0.1%,-5.9%,0.4%,-0.4%,3.0%
15,1988,2.6%,0.4%,0.8%,0.6%,0.3%,1.3%,-0.2%,-0.9%,0.8%,1.0%,0.8%,1.8%,9.7%
16,1989,2.4%,0.0%,2.0%,2.6%,2.1%,1.7%,3.1%,0.9%,0.3%,-1.5%,1.1%,1.3%,17.3%
17,1990,-1.6%,0.4%,-0.1%,0.2%,-0.2%,0.7%,-0.0%,0.8%,2.8%,-0.1%,0.6%,0.9%,4.5%
18,1991,-0.7%,1.8%,2.8%,0.9%,1.6%,-1.9%,1.9%,2.4%,1.7%,1.0%,-1.2%,3.0%,14.0%
19,1992,-0.5%,0.5%,-1.3%,-0.0%,1.0%,-0.9%,2.2%,0.2%,1.3%,-0.6%,1.9%,1.8%,5.7%
20,1993,2.5%,1.8%,2.4%,-1.5%,0.9%,1.5%,0.4%,2.4%,1.0%,0.7%,-1.7%,0.9%,11.7%
21,1994,1.7%,-1.4%,-1.9%,0.3%,0.3%,0.1%,0.7%,-0.2%,0.4%,0.4%,-1.1%,0.3%,-0.6%
22,1995,0.5%,1.0%,1.5%,2.2%,2.6%,1.0%,1.7%,1.3%,2.0%,-0.6%,2.7%,3.4%,21.1%
23,1996,0.5%,1.0%,1.5%,2.2%,1.7%,0.3%,-2.4%,2.5%,2.7%,2.0%,4.2%,3.0%,20.8%
24,1997,1.3%,-1.0%,-1.8%,1.2%,2.0%,2.6%,3.7%,-1.0%,4.2%,-0.8%,1.0%,1.3%,13.3%
25,1998,0.7%,1.4%,1.6%,-0.1%,-0.4%,1.2%,-1.0%,-0.3%,2.3%,-0.2%,0.4%,1.2%,7.0%
26,1999,0.8%,-2.5%,0.8%,1.6%,-0.3%,2.2%,-1.0%,0.2%,0.5%,0.1%,1.3%,2.9%,6.7%
27,2000,-0.1%,2.3%,0.6%,-1.4%,0.6%,2.6%,0.5%,2.8%,-0.1%,-0.8%,1.7%,1.8%,11.0%
28,2001,0.7%,-0.0%,0.6%,-0.5%,0.3%,1.5%,0.8%,1.3%,-0.2%,0.7%,-1.2%,-0.2%,3.7%
29,2002,0.3%,0.6%,0.1%,-0.4%,-0.0%,1.2%,0.1%,1.9%,1.2%,-0.8%,-0.7%,1.9%,5.3%
30,2003,1.4%,1.5%,-1.8%,-1.0%,4.7%,0.8%,0.4%,1.7%,-0.1%,2.4%,2.3%,3.4%,16.7%
31,2004,2.8%,2.3%,2.4%,-6.8%,1.1%,1.2%,-0.5%,1.6%,2.2%,2.5%,1.6%,1.0%,11.3%
32,2005,-1.0%,1.8%,-0.5%,-1.7%,1.0%,2.1%,2.3%,0.4%,-0.3%,-2.7%,2.4%,0.6%,4.2%
33,2006,3.4%,0.0%,2.2%,0.7%,-1.8%,0.8%,0.6%,1.3%,1.0%,1.9%,2.0%,-0.7%,11.8%
34,2007,1.3%,-0.1%,0.2%,1.6%,0.8%,-1.6%,-1.6%,1.0%,2.4%,2.5%,-0.4%,0.6%,6.8%
35,2008,1.8%,2.2%,0.4%,-0.0%,0.3%,0.9%,-1.2%,-0.4%,-2.5%,-0.3%,3.5%,2.8%,7.6%
36,2009,-1.8%,-0.3%,1.4%,-1.2%,-1.0%,-0.0%,2.6%,1.7%,1.8%,-0.6%,3.6%,0.3%,6.6%
37,2010,-3.1%,1.7%,2.4%,2.5%,-3.6%,-0.7%,1.5%,-0.6%,0.5%,2.6%,-0.3%,2.9%,5.7%
38,2011,1.4%,2.5%,0.4%,2.4%,-0.9%,-1.9%,1.4%,-0.3%,-1.3%,-0.4%,0.2%,0.8%,4.3%
39,2012,0.3%,0.4%,0.5%,1.0%,-2.7%,1.9%,0.9%,0.8%,0.4%,-1.3%,0.5%,0.2%,2.9%
40,2013,2.2%,0.0%,1.9%,2.1%,-1.4%,-0.7%,2.6%,-2.3%,1.8%,1.3%,1.2%,0.9%,9.8%
41,2014,-1.2%,1.8%,-0.1%,0.4%,1.2%,1.7%,-2.2%,1.8%,-2.3%,0.9%,1.3%,0.6%,3.9%
42,2015,1.5%,0.3%,0.4%,-1.2%,0.4%,-1.0%,0.4%,-2.5%,-0.0%,-0.3%,-0.2%,-0.3%,-2.4%
43,2016,-0.5%,0.6%,-0.0%,-0.4%,0.9%,2.9%,1.2%,-0.7%,0.5%,-2.5%,2.3%,1.3%,5.7%
44,2017,0.4%,1.1%,-0.4%,0.0%,0.2%,0.5%,1.0%,0.4%,0.8%,1.4%,1.2%,0.7%,7.6%
45,2018,2.2%,-1.7%,-0.0%,0.8%,1.6%,,,,,,,,2.9%
