,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
32,2002,1.3%,3.0%,-1.4%,1.9%,5.8%,-3.8%,-0.2%,4.3%,3.8%,-2.8%,-0.4%,6.9%,19.4%
33,2003,2.6%,-0.9%,-2.5%,0.7%,6.9%,-1.9%,-2.0%,3.0%,0.7%,2.5%,2.3%,4.7%,16.9%
34,2004,-0.6%,-0.2%,2.6%,-5.8%,1.2%,0.7%,-3.2%,0.1%,0.9%,2.1%,1.3%,1.0%,-0.2%
35,2005,-0.8%,1.2%,-1.3%,1.1%,0.7%,1.2%,0.2%,1.2%,1.7%,-1.8%,3.6%,2.3%,9.6%
36,2006,6.2%,-0.4%,0.3%,6.7%,-2.2%,-2.2%,1.9%,0.3%,-1.0%,1.8%,3.6%,-0.7%,14.6%
37,2007,1.0%,1.3%,-0.5%,2.5%,-0.5%,-1.4%,-0.5%,1.2%,4.8%,3.4%,-0.1%,1.5%,13.4%
38,2008,2.3%,2.4%,-1.9%,-3.4%,-0.9%,3.5%,-0.9%,-9.2%,3.0%,-1.9%,14.3%,13.7%,20.4%
39,2009,-13.2%,-0.0%,0.8%,-5.2%,3.2%,-5.5%,5.2%,1.7%,4.7%,0.9%,9.4%,-3.9%,-3.9%
40,2010,-2.6%,3.2%,2.8%,3.7%,-2.4%,-1.6%,0.2%,7.0%,1.2%,-0.4%,0.1%,1.8%,13.4%
41,2011,-2.4%,4.7%,0.7%,6.0%,-1.5%,-2.1%,3.6%,5.4%,1.0%,0.9%,1.9%,-3.5%,15.1%
42,2012,5.3%,-0.2%,-0.9%,1.2%,1.5%,1.2%,2.5%,0.6%,-0.1%,-1.7%,0.5%,-1.3%,8.7%
43,2013,0.3%,-2.0%,3.8%,1.9%,2.4%,-1.3%,5.2%,-3.0%,3.2%,4.6%,3.0%,2.6%,22.2%
44,2014,-3.5%,4.6%,0.7%,1.3%,0.6%,0.8%,-1.4%,3.0%,-3.3%,2.6%,2.9%,1.5%,9.9%
45,2015,3.4%,-0.3%,-0.2%,-1.2%,-0.5%,-3.1%,2.3%,-6.2%,0.0%,0.0%,0.0%,-0.1%,-6.1%
46,2016,-5.2%,3.0%,-0.5%,2.1%,-1.2%,5.4%,2.6%,-1.4%,-0.3%,-3.0%,-4.4%,2.0%,-1.4%
47,2017,1.8%,3.9%,0.1%,1.0%,1.3%,-0.8%,1.2%,2.6%,-1.2%,0.5%,1.4%,1.7%,14.3%
48,2018,1.9%,-3.0%,-1.1%,-0.2%,1.6%,,,,,,,,-0.9%
