,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
16,1988,3.7%,3.0%,1.3%,1.0%,-0.4%,1.0%,0.6%,-2.3%,1.9%,3.5%,1.3%,2.0%,17.8%
17,1989,2.6%,-0.0%,1.5%,2.9%,0.2%,1.4%,4.4%,0.0%,1.5%,-1.1%,1.8%,2.1%,18.6%
18,1990,-3.8%,-1.3%,-1.7%,-1.7%,3.9%,-0.1%,1.6%,-3.0%,-1.1%,0.0%,0.4%,1.0%,-5.8%
19,1991,1.6%,3.9%,1.4%,1.0%,1.6%,-3.7%,3.3%,0.8%,1.7%,1.0%,-2.4%,5.5%,16.6%
20,1992,0.1%,-1.0%,-2.4%,1.0%,3.4%,-1.3%,1.6%,0.8%,0.8%,-2.1%,1.1%,1.2%,3.1%
21,1993,2.2%,2.5%,4.1%,0.5%,0.3%,0.9%,0.9%,3.0%,0.5%,0.2%,-4.5%,1.6%,12.4%
22,1994,3.6%,-0.7%,-3.4%,1.6%,1.3%,-0.5%,1.4%,0.9%,-1.3%,0.2%,-2.4%,1.8%,2.3%
23,1995,0.3%,1.4%,2.2%,2.4%,2.5%,0.0%,2.2%,0.1%,2.1%,-0.4%,2.5%,3.6%,20.6%
24,1996,0.5%,0.9%,2.0%,1.8%,0.0%,1.5%,-1.7%,2.7%,3.3%,1.3%,4.2%,1.9%,19.8%
25,1997,0.2%,-0.5%,-1.0%,1.1%,3.0%,2.4%,3.9%,-3.2%,4.5%,-2.2%,0.5%,0.5%,9.4%
26,1998,1.3%,1.2%,1.7%,-0.4%,-1.3%,0.7%,-2.1%,-7.8%,3.9%,2.8%,1.2%,1.6%,2.3%
27,1999,0.2%,-3.1%,5.4%,4.4%,-2.8%,3.2%,-0.5%,0.5%,0.3%,0.9%,1.0%,4.6%,14.6%
28,2000,-1.0%,1.3%,2.9%,-1.0%,1.1%,3.5%,-0.8%,2.8%,-0.8%,-1.8%,-0.9%,1.3%,6.7%
29,2001,1.5%,-3.5%,-2.6%,4.2%,-0.5%,-0.8%,-0.2%,0.1%,-4.5%,-0.6%,2.2%,0.1%,-5.0%
30,2002,-1.2%,1.2%,4.4%,-0.1%,0.2%,-0.3%,-3.6%,1.9%,-3.8%,-0.0%,2.3%,0.1%,0.8%
31,2003,-0.5%,0.8%,-2.0%,3.4%,6.1%,1.3%,1.2%,2.2%,1.4%,3.1%,2.3%,5.0%,27.0%
32,2004,2.2%,2.9%,1.7%,-4.6%,2.8%,1.4%,0.2%,2.5%,2.8%,3.7%,1.7%,1.5%,20.0%
33,2005,-1.5%,3.0%,-0.1%,-0.5%,1.5%,2.9%,3.5%,1.2%,0.6%,-3.4%,2.0%,2.4%,11.9%
34,2006,4.7%,-0.6%,2.4%,1.8%,-2.0%,0.9%,1.8%,1.3%,0.4%,3.0%,3.6%,-0.2%,18.4%
35,2007,1.8%,0.4%,0.5%,1.9%,0.8%,-2.1%,-1.8%,1.3%,4.5%,3.6%,-2.6%,-0.2%,8.1%
36,2008,-1.7%,1.3%,1.2%,4.0%,1.7%,-2.6%,-2.7%,-1.3%,-6.1%,-19.0%,-6.9%,5.0%,-25.8%
37,2009,-9.6%,-9.3%,5.6%,8.4%,7.2%,-1.6%,6.1%,3.7%,3.1%,-0.6%,4.7%,1.3%,18.6%
38,2010,-3.9%,2.6%,4.2%,2.3%,-6.2%,-2.2%,6.8%,-1.7%,6.0%,3.3%,-1.6%,5.0%,14.6%
39,2011,2.2%,3.2%,-0.3%,4.2%,-1.0%,-2.2%,1.0%,-3.1%,-8.1%,7.8%,-1.2%,0.7%,2.3%
40,2012,4.2%,2.5%,1.1%,0.2%,-6.1%,3.6%,2.0%,2.2%,0.5%,-1.2%,1.2%,1.5%,11.9%
41,2013,2.8%,-0.5%,1.8%,2.4%,-2.3%,-2.2%,2.9%,-2.3%,2.7%,2.8%,-0.6%,0.8%,8.5%
42,2014,-0.9%,4.2%,0.1%,1.5%,1.4%,1.2%,-1.7%,1.7%,-3.9%,2.3%,-0.1%,-1.8%,3.7%
43,2015,0.6%,1.9%,-1.3%,0.9%,-0.5%,-2.0%,-0.2%,-4.2%,-1.1%,4.1%,-1.4%,-1.5%,-4.7%
44,2016,-3.0%,-0.5%,5.5%,1.9%,0.9%,2.5%,0.9%,-0.7%,0.8%,-2.3%,-0.4%,2.7%,8.3%
45,2017,0.9%,1.8%,-0.4%,0.5%,0.8%,0.4%,2.1%,0.4%,1.0%,1.3%,1.4%,1.1%,11.8%
46,2018,1.4%,-4.0%,0.7%,1.0%,1.8%,,,,,,,,0.9%
