,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
28,2003,-1.5%,1.7%,0.3%,2.6%,4.4%,0.1%,-2.7%,1.0%,3.7%,0.2%,1.2%,2.9%,14.4%
29,2004,2.0%,1.6%,1.8%,-6.1%,1.6%,1.3%,-0.0%,3.2%,0.4%,2.0%,1.2%,2.4%,11.5%
30,2005,-1.6%,0.5%,-1.3%,1.5%,2.3%,1.2%,1.5%,-0.1%,-0.4%,-2.0%,2.6%,0.5%,4.6%
31,2006,1.8%,0.6%,0.6%,-0.2%,-1.7%,0.6%,1.4%,2.2%,1.7%,2.0%,2.0%,-0.2%,11.3%
32,2007,1.2%,0.2%,0.0%,2.0%,0.3%,-1.9%,-1.5%,2.4%,1.8%,1.2%,-0.6%,-0.9%,4.2%
33,2008,0.8%,-0.9%,0.7%,1.5%,-1.1%,-2.5%,0.5%,1.2%,-4.7%,-5.9%,3.5%,7.6%,-0.0%
34,2009,-5.2%,-4.7%,3.6%,2.5%,0.0%,-0.1%,2.9%,2.0%,1.8%,-0.7%,2.8%,-2.6%,1.9%
35,2010,1.0%,1.0%,0.8%,2.0%,0.4%,1.7%,2.3%,2.1%,1.4%,0.7%,-1.0%,-1.3%,11.6%
36,2011,0.5%,0.8%,-0.3%,2.3%,1.8%,-0.9%,2.3%,1.9%,-0.1%,2.1%,-0.6%,2.3%,12.7%
37,2012,1.8%,0.0%,-0.6%,1.8%,0.6%,0.9%,1.9%,0.2%,0.3%,-0.1%,0.3%,-0.1%,7.4%
38,2013,-0.1%,1.1%,0.9%,2.2%,-2.7%,-2.5%,1.0%,-2.1%,1.9%,2.0%,-0.4%,-0.6%,0.7%
39,2014,1.7%,1.7%,-0.1%,1.1%,1.9%,0.4%,-0.4%,2.3%,-1.6%,2.4%,1.8%,0.1%,11.6%
40,2015,1.9%,0.9%,-0.2%,-0.5%,0.1%,-2.1%,2.1%,-3.5%,-0.2%,4.1%,-0.1%,-1.0%,1.2%
41,2016,-1.3%,0.6%,4.2%,0.2%,0.7%,2.5%,1.9%,-0.6%,-0.1%,-1.9%,-1.1%,1.3%,6.5%
42,2017,0.7%,2.2%,-0.2%,1.0%,1.0%,0.3%,1.1%,0.8%,0.2%,0.7%,1.1%,0.7%,10.1%
43,2018,0.5%,-2.6%,0.1%,-0.6%,1.0%,,,,,,,,-1.6%
