,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
34,2005,-2.0%,4.2%,-3.9%,-1.2%,1.4%,1.3%,0.1%,0.8%,5.5%,-3.0%,2.8%,4.9%,11.0%
35,2006,6.0%,-1.6%,2.6%,3.8%,-5.9%,-0.5%,0.6%,1.3%,0.4%,3.7%,3.4%,2.1%,16.4%
36,2007,1.1%,-1.8%,1.7%,3.2%,3.5%,0.6%,-1.2%,1.1%,6.5%,6.1%,-5.6%,-0.4%,15.2%
37,2008,-3.6%,1.2%,1.3%,-2.5%,-0.6%,-4.2%,0.7%,1.5%,-0.1%,-0.9%,7.8%,5.2%,5.3%
38,2009,-3.9%,-0.7%,3.1%,-2.5%,-1.6%,-0.6%,2.5%,-0.2%,2.0%,-0.9%,2.7%,1.9%,1.5%
39,2010,-3.1%,1.5%,3.6%,1.2%,-7.2%,0.2%,0.8%,0.5%,-0.1%,2.3%,-1.3%,2.9%,0.9%
40,2011,1.1%,1.9%,-2.8%,2.2%,-0.1%,-1.1%,0.4%,2.2%,2.2%,-1.3%,0.6%,2.0%,7.3%
41,2012,0.9%,-1.2%,1.4%,-1.1%,-1.9%,-0.5%,1.2%,-0.3%,0.9%,-1.7%,1.2%,2.7%,1.4%
42,2013,1.1%,0.8%,2.9%,4.2%,-2.8%,-0.6%,4.2%,-2.1%,6.4%,3.2%,2.1%,2.3%,23.4%
43,2014,-4.4%,4.5%,-1.1%,0.6%,2.4%,1.9%,-0.4%,2.5%,-3.5%,2.0%,1.2%,-0.6%,4.9%
44,2015,0.8%,-2.6%,-0.5%,0.7%,0.2%,-2.3%,1.9%,-6.8%,1.6%,-0.7%,-0.0%,-1.3%,-9.0%
45,2016,-3.4%,1.5%,-0.2%,-0.8%,0.4%,1.0%,0.1%,-0.0%,1.1%,-0.7%,-1.4%,1.0%,-1.6%
46,2017,3.6%,2.8%,1.5%,2.0%,2.9%,-0.2%,3.7%,1.0%,1.0%,2.9%,1.1%,1.6%,26.7%
47,2018,6.9%,-3.5%,-1.8%,-0.3%,3.0%,,,,,,,,4.1%
