,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
26,1999,0.2%,-1.8%,0.7%,2.5%,-1.6%,3.1%,-0.2%,0.4%,-0.4%,0.6%,1.8%,3.5%,9.1%
27,2000,-0.1%,1.1%,1.0%,-1.8%,0.6%,1.9%,-0.1%,2.7%,0.2%,-0.7%,1.5%,1.5%,7.8%
28,2001,0.6%,0.4%,-0.9%,-0.4%,0.2%,1.0%,0.8%,1.1%,-1.6%,0.9%,-0.8%,-0.7%,0.6%
29,2002,-0.0%,0.4%,0.8%,0.4%,1.0%,0.9%,-2.1%,1.6%,0.7%,-0.6%,-0.3%,2.2%,5.1%
30,2003,1.9%,1.3%,-1.6%,-0.7%,5.4%,0.9%,0.4%,2.3%,1.8%,2.9%,2.4%,5.4%,24.6%
31,2004,2.3%,3.1%,1.9%,-5.9%,3.0%,0.8%,0.2%,1.5%,2.8%,3.4%,3.0%,1.7%,18.8%
32,2005,-0.7%,3.3%,-1.4%,-0.9%,0.5%,2.3%,2.8%,1.2%,1.6%,-3.0%,2.1%,2.5%,10.5%
33,2006,4.5%,-0.4%,2.1%,2.0%,-2.1%,0.5%,1.5%,1.4%,0.5%,2.2%,2.9%,0.4%,16.3%
34,2007,0.7%,0.1%,1.1%,2.0%,0.7%,-1.5%,-0.2%,0.6%,4.9%,4.5%,-1.0%,0.3%,12.6%
35,2008,0.5%,2.6%,0.7%,0.0%,0.8%,0.9%,-1.1%,-1.6%,-1.3%,-0.2%,1.9%,1.6%,4.8%
36,2009,-2.5%,-0.2%,0.8%,-0.6%,0.4%,-0.3%,3.4%,1.2%,3.1%,-0.2%,4.1%,-0.8%,8.6%
37,2010,-4.2%,1.0%,2.6%,1.1%,-5.1%,0.1%,0.2%,0.1%,3.2%,2.9%,-2.8%,4.8%,3.4%
38,2011,0.8%,1.8%,1.1%,3.4%,-1.7%,-1.6%,1.2%,-0.5%,-2.4%,-0.3%,-0.3%,0.5%,1.9%
39,2012,0.1%,0.4%,-0.3%,0.6%,-4.9%,1.2%,0.8%,0.5%,0.6%,-0.7%,0.7%,1.5%,0.5%
40,2013,0.9%,-1.2%,0.9%,2.4%,-3.8%,-0.6%,0.7%,-0.6%,1.1%,0.9%,-0.4%,0.4%,0.6%
41,2014,-2.1%,1.4%,0.0%,1.3%,1.2%,1.5%,-1.5%,1.4%,-3.1%,0.5%,0.5%,0.0%,0.9%
42,2015,1.4%,-0.1%,-0.2%,-0.4%,-0.8%,-0.9%,0.2%,-1.5%,-0.0%,-0.1%,-0.3%,-0.3%,-2.9%
43,2016,0.0%,0.3%,0.9%,0.1%,-0.5%,3.0%,1.0%,-0.7%,1.0%,-2.6%,-0.2%,0.8%,3.0%
44,2017,0.1%,0.8%,0.4%,0.2%,1.1%,0.2%,2.3%,0.7%,0.1%,1.5%,0.8%,1.6%,10.3%
45,2018,3.0%,-3.7%,0.2%,0.0%,0.9%,,,,,,,,0.4%
