,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
21,1991,-0.9%,2.4%,0.8%,0.7%,1.3%,-1.5%,1.8%,3.0%,1.8%,0.9%,-0.8%,2.5%,12.7%
22,1992,-3.1%,1.0%,-1.5%,1.4%,1.9%,0.5%,3.6%,-1.6%,1.7%,-1.9%,1.2%,2.1%,5.3%
23,1993,1.8%,2.2%,1.1%,-0.9%,1.8%,2.0%,1.4%,1.1%,-0.3%,1.2%,-1.4%,1.9%,12.8%
24,1994,1.4%,-2.5%,-0.9%,-2.2%,0.3%,-0.0%,-0.3%,0.6%,-0.2%,-0.6%,-1.9%,0.6%,-5.8%
25,1995,2.2%,3.6%,1.7%,1.2%,4.4%,0.9%,0.3%,1.1%,2.8%,0.7%,3.0%,1.1%,25.5%
26,1996,3.1%,-1.9%,-0.6%,-0.4%,1.3%,0.6%,-2.8%,1.2%,2.9%,3.1%,4.5%,-2.2%,8.9%
27,1997,1.8%,0.4%,-2.8%,2.9%,2.0%,1.7%,4.4%,-2.2%,2.4%,1.1%,0.9%,1.1%,14.5%
28,1998,1.8%,1.4%,1.6%,0.6%,-0.9%,1.9%,-0.0%,1.1%,4.6%,-1.1%,0.8%,0.8%,13.3%
29,1999,1.0%,-3.5%,1.5%,0.8%,-1.9%,2.2%,-1.1%,-0.0%,-0.9%,0.3%,0.1%,1.5%,-0.2%
30,2000,-1.9%,1.1%,1.7%,-1.0%,-0.0%,2.0%,-0.6%,1.6%,-1.0%,0.6%,2.5%,2.4%,7.6%
31,2001,0.8%,1.3%,0.6%,-1.7%,0.2%,0.4%,1.8%,1.2%,3.7%,0.7%,-2.5%,0.3%,6.8%
32,2002,0.9%,2.5%,-1.8%,-1.1%,2.3%,-0.1%,0.8%,2.7%,3.7%,-1.4%,-1.0%,6.2%,14.1%
33,2003,0.7%,-0.4%,-0.9%,0.2%,4.9%,-1.2%,-1.8%,2.4%,0.2%,0.6%,1.1%,3.4%,9.4%
34,2004,-0.1%,0.9%,1.4%,-4.9%,0.3%,0.5%,-2.0%,1.8%,0.8%,1.4%,1.1%,0.7%,1.6%
35,2005,-1.1%,0.3%,-1.1%,-0.4%,-0.3%,0.3%,-0.2%,0.8%,-0.9%,-1.6%,4.2%,1.0%,0.9%
36,2006,1.6%,0.0%,1.8%,3.5%,-2.1%,-0.6%,0.8%,1.5%,0.9%,1.5%,1.6%,-0.6%,10.2%
37,2007,0.6%,1.0%,0.0%,1.5%,-0.2%,-1.0%,-0.3%,1.8%,3.1%,2.8%,1.0%,1.4%,12.3%
38,2008,4.5%,1.8%,-0.7%,-2.1%,-0.9%,1.5%,0.2%,-1.2%,-0.2%,-2.7%,5.0%,2.8%,8.0%
39,2009,-1.0%,-0.1%,0.9%,-1.7%,0.8%,-1.8%,2.3%,0.7%,2.9%,0.3%,6.0%,-4.0%,4.9%
40,2010,-1.8%,1.4%,0.5%,1.7%,0.3%,1.5%,-1.0%,3.8%,2.0%,2.2%,-0.1%,0.9%,11.9%
41,2011,-0.7%,3.1%,0.6%,4.7%,-1.3%,-1.1%,3.8%,4.5%,-1.1%,0.1%,0.4%,-1.2%,12.0%
42,2012,1.3%,0.3%,-0.0%,1.3%,0.1%,0.7%,1.3%,0.4%,1.8%,-1.3%,0.5%,-0.9%,5.5%
43,2013,0.4%,-1.8%,2.2%,1.6%,-2.0%,-0.9%,2.6%,-1.7%,1.8%,3.6%,1.9%,1.8%,9.7%
44,2014,-2.5%,1.6%,-0.8%,0.7%,1.9%,0.5%,-1.1%,2.2%,-2.3%,1.8%,1.6%,-0.0%,3.3%
45,2015,2.0%,-0.0%,-0.2%,-0.1%,0.2%,-1.9%,1.5%,-4.1%,1.6%,-0.7%,-0.2%,-1.0%,-2.8%
46,2016,-2.6%,1.4%,-0.3%,0.9%,-0.7%,3.5%,1.4%,-1.1%,0.2%,-2.0%,-0.5%,1.3%,1.4%
47,2017,1.5%,3.3%,0.1%,0.9%,0.6%,-0.5%,1.3%,1.6%,-1.1%,0.7%,0.9%,0.7%,10.3%
48,2018,4.7%,-2.9%,-0.3%,-0.2%,0.8%,,,,,,,,1.8%
