,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
22,1997,1.8%,0.2%,-1.8%,1.2%,3.0%,3.2%,4.4%,-1.9%,5.1%,-0.7%,1.6%,1.7%,19.2%
23,1998,0.9%,0.3%,1.7%,-0.8%,-0.2%,1.0%,-2.3%,-3.1%,5.1%,-0.2%,0.6%,0.6%,3.6%
24,1999,0.2%,-3.2%,0.7%,3.0%,-0.9%,0.1%,-1.4%,-0.5%,-0.6%,0.2%,-0.3%,0.7%,-2.0%
25,2000,-1.1%,0.2%,3.9%,0.4%,0.2%,2.2%,2.0%,1.4%,0.0%,-0.4%,0.7%,2.8%,12.9%
26,2001,1.5%,-1.1%,-0.4%,0.7%,0.5%,1.0%,1.4%,0.5%,-1.4%,1.2%,0.8%,-0.3%,4.4%
27,2002,0.3%,0.8%,-0.3%,1.1%,0.8%,0.6%,-0.3%,1.7%,0.2%,-0.7%,0.5%,1.6%,6.4%
28,2003,-1.5%,1.5%,0.2%,2.4%,4.5%,0.1%,-2.1%,0.9%,3.5%,0.5%,1.0%,2.9%,14.6%
29,2004,1.9%,1.6%,1.6%,-5.7%,0.7%,1.2%,-0.2%,2.4%,0.5%,1.3%,0.3%,1.9%,7.5%
30,2005,-0.4%,-0.1%,-0.9%,1.1%,2.3%,0.5%,-0.1%,0.7%,-0.8%,-1.8%,2.2%,0.7%,3.5%
31,2006,1.1%,0.3%,0.3%,-0.1%,-1.5%,0.4%,1.2%,1.9%,1.8%,1.7%,1.7%,-0.3%,8.9%
32,2007,0.4%,0.4%,0.4%,2.2%,0.2%,-1.3%,-0.1%,2.1%,1.5%,1.2%,0.8%,-0.7%,7.4%
33,2008,0.2%,-0.2%,0.9%,0.3%,-0.7%,-2.5%,0.3%,1.6%,-3.0%,-6.8%,3.8%,5.5%,-1.1%
34,2009,-5.7%,-4.3%,4.6%,2.3%,-0.3%,-0.6%,2.8%,2.2%,1.9%,-0.8%,3.1%,-2.4%,2.4%
35,2010,0.7%,1.3%,1.1%,2.1%,0.3%,0.9%,2.6%,1.6%,2.0%,1.0%,-0.8%,-1.0%,12.4%
36,2011,0.7%,0.8%,-0.2%,2.3%,1.7%,-0.9%,2.1%,1.9%,-0.5%,2.3%,0.1%,1.7%,12.6%
37,2012,1.9%,0.1%,-0.1%,1.6%,0.2%,0.9%,1.3%,0.7%,0.5%,-0.8%,0.9%,-0.4%,7.0%
38,2013,0.5%,1.2%,1.3%,1.6%,-1.5%,-2.2%,1.4%,-1.9%,2.3%,2.1%,0.4%,-0.5%,4.5%
39,2014,0.9%,1.7%,-0.1%,0.7%,2.0%,0.5%,-0.6%,2.5%,-1.2%,1.8%,1.8%,-0.0%,10.6%
40,2015,1.7%,0.6%,-0.1%,-0.0%,0.2%,-1.8%,1.8%,-2.3%,0.1%,2.7%,-0.2%,-1.0%,1.6%
41,2016,0.5%,0.9%,2.3%,0.0%,0.5%,2.2%,1.3%,-0.6%,0.2%,-1.6%,-1.6%,0.6%,4.8%
42,2017,0.8%,1.8%,0.1%,1.1%,1.0%,-0.1%,1.0%,1.1%,-0.2%,0.7%,0.9%,0.5%,8.9%
43,2018,0.6%,-1.8%,-0.1%,-0.7%,0.8%,,,,,,,,-1.3%
