,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
12,1982,-0.7%,1.7%,2.2%,3.2%,1.1%,-2.6%,4.7%,8.3%,6.8%,7.5%,4.0%,3.1%,46.7%
13,1983,3.4%,2.5%,3.5%,7.6%,-0.9%,3.7%,-3.2%,1.8%,1.2%,-1.6%,1.9%,-0.7%,20.5%
14,1984,1.7%,-1.9%,-1.9%,-1.7%,-5.4%,2.2%,-1.7%,3.9%,2.8%,6.3%,1.5%,1.3%,6.7%
15,1985,3.6%,1.4%,0.0%,-0.3%,5.8%,1.9%,-1.2%,2.9%,0.1%,3.5%,4.9%,6.7%,33.0%
16,1986,0.1%,12.5%,10.5%,0.3%,-2.7%,1.7%,-5.9%,3.6%,-4.0%,0.3%,2.3%,-0.3%,18.2%
17,1987,0.5%,4.0%,2.8%,-1.0%,1.0%,5.0%,4.9%,3.8%,-2.3%,-21.9%,0.0%,2.3%,-3.9%
18,1988,6.5%,0.8%,-3.0%,1.0%,0.8%,4.6%,-0.4%,-3.6%,4.2%,3.3%,-2.8%,-1.0%,10.2%
19,1989,2.2%,-2.5%,2.3%,5.2%,4.0%,-0.8%,2.1%,-2.7%,-0.4%,-2.5%,0.9%,-0.3%,7.4%
20,1990,-4.7%,1.3%,2.6%,-2.5%,9.7%,-0.7%,-0.4%,-9.2%,1.0%,2.6%,4.8%,2.2%,5.8%
21,1991,1.0%,7.1%,2.4%,0.2%,4.3%,-4.7%,1.1%,2.1%,3.4%,-0.4%,0.3%,6.8%,25.6%
22,1992,-1.9%,1.2%,-1.9%,2.9%,0.3%,1.2%,4.5%,1.1%,1.1%,-2.3%,0.9%,1.9%,9.2%
23,1993,-0.1%,4.5%,0.2%,0.3%,-0.0%,0.2%,2.0%,7.1%,1.2%,1.5%,-4.0%,1.2%,14.5%
24,1994,3.5%,-2.9%,-4.2%,1.1%,1.6%,-2.3%,3.2%,3.8%,-2.5%,2.8%,-4.0%,0.5%,0.2%
25,1995,2.7%,3.3%,2.8%,3.0%,3.8%,0.8%,-2.6%,0.4%,4.2%,-0.5%,3.0%,3.0%,26.6%
26,1996,-0.7%,0.3%,1.7%,1.1%,2.3%,0.9%,-4.7%,-1.2%,2.7%,3.2%,7.3%,-2.4%,10.5%
27,1997,6.2%,1.0%,-4.4%,6.3%,6.3%,4.1%,7.9%,-5.2%,4.8%,-2.6%,2.0%,2.0%,30.9%
28,1998,2.0%,6.9%,4.9%,1.3%,-2.1%,4.0%,-0.9%,6.8%,5.3%,-2.1%,1.3%,6.5%,38.9%
29,1999,3.5%,-3.2%,4.1%,3.8%,-2.3%,5.5%,-3.1%,-0.5%,-2.4%,-0.3%,1.7%,5.7%,12.6%
30,2000,-5.0%,-1.7%,3.7%,-1.0%,-0.7%,1.8%,2.0%,2.2%,-5.7%,1.7%,3.3%,2.3%,2.4%
31,2001,-0.0%,1.8%,-0.8%,-3.2%,0.0%,-2.4%,-1.2%,2.3%,0.3%,6.0%,-5.4%,-2.3%,-5.3%
32,2002,-1.0%,-2.0%,-4.9%,-6.0%,0.0%,1.7%,3.2%,5.5%,4.3%,-3.7%,-1.1%,-5.7%,-10.0%
33,2003,-2.7%,3.1%,-1.4%,0.8%,5.5%,1.1%,1.8%,2.1%,-1.1%,5.4%,1.1%,5.0%,22.3%
34,2004,2.0%,1.4%,-1.5%,-6.4%,1.7%,1.9%,-3.4%,4.2%,0.9%,1.8%,-2.6%,3.0%,2.3%
35,2005,-2.2%,1.9%,-0.5%,3.9%,3.1%,2.2%,-3.6%,-0.9%,0.8%,-2.6%,0.5%,-0.2%,2.1%
36,2006,2.4%,0.6%,1.7%,1.3%,-3.0%,0.3%,0.2%,3.1%,1.9%,0.6%,2.0%,1.3%,12.9%
37,2007,1.5%,-2.0%,1.2%,4.4%,3.4%,-1.5%,-3.3%,1.8%,0.2%,1.6%,-4.1%,-0.6%,2.3%
38,2008,2.1%,-0.5%,2.1%,-2.7%,1.5%,-8.4%,-1.1%,2.7%,1.5%,-1.9%,14.3%,13.7%,23.6%
39,2009,-13.1%,-1.5%,4.0%,-7.1%,5.8%,-0.1%,7.5%,3.7%,3.5%,-1.9%,6.2%,1.9%,7.1%
40,2010,-3.6%,3.1%,6.1%,1.5%,-8.1%,5.8%,-0.9%,8.4%,-2.7%,3.8%,0.0%,6.7%,20.4%
41,2011,2.3%,3.5%,0.0%,2.9%,-1.3%,-2.3%,4.4%,9.7%,13.2%,-3.8%,2.0%,3.2%,37.9%
42,2012,4.6%,4.3%,3.2%,-0.7%,-6.2%,-1.7%,3.8%,-1.5%,2.5%,-1.8%,0.6%,0.9%,7.8%
43,2013,5.1%,1.3%,3.8%,1.9%,2.4%,-1.3%,5.2%,-3.0%,3.2%,4.6%,3.0%,2.6%,32.3%
44,2014,-3.5%,4.3%,0.7%,1.9%,2.1%,-0.5%,-1.5%,4.7%,-2.1%,2.8%,2.8%,-0.5%,11.5%
45,2015,9.8%,-6.1%,1.1%,-3.6%,1.3%,-2.0%,2.3%,-6.3%,2.0%,-0.4%,-1.1%,-1.7%,-5.7%
46,2016,-5.2%,3.1%,-0.1%,-0.9%,1.7%,0.1%,2.1%,-1.0%,-1.7%,-1.7%,3.7%,2.0%,1.8%
47,2017,1.8%,3.9%,0.1%,1.0%,1.2%,0.8%,-0.9%,0.1%,-2.5%,2.4%,3.1%,1.2%,12.7%
48,2018,5.6%,-3.6%,-2.7%,0.3%,-0.2%,,,,,,,,-0.9%
