,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
30,2000,-5.0%,-1.5%,9.7%,-3.5%,-1.6%,2.0%,-1.6%,6.5%,-5.5%,-0.5%,-7.5%,-0.5%,-9.7%
31,2001,4.3%,0.3%,-5.7%,0.3%,0.3%,0.3%,0.3%,0.3%,0.2%,0.2%,0.2%,0.1%,0.8%
32,2002,0.1%,0.1%,0.0%,-5.9%,0.2%,0.1%,0.0%,0.7%,-10.5%,8.2%,6.1%,0.1%,-1.9%
33,2003,-0.0%,-1.3%,0.1%,-0.0%,5.5%,1.1%,1.8%,2.1%,-1.1%,5.4%,1.1%,5.0%,21.0%
34,2004,2.0%,1.4%,-1.3%,-1.9%,1.7%,1.9%,-3.2%,0.2%,1.0%,1.3%,4.5%,3.0%,10.7%
35,2005,-2.2%,2.1%,-1.8%,-1.9%,3.2%,0.2%,3.8%,-0.9%,0.8%,-2.4%,4.4%,-0.2%,4.8%
36,2006,2.4%,0.6%,1.7%,1.3%,-3.0%,0.3%,0.4%,2.2%,2.7%,3.2%,2.0%,1.3%,15.8%
37,2007,1.5%,-2.0%,1.2%,4.4%,3.4%,-1.5%,-3.1%,1.3%,3.9%,1.4%,-3.9%,-1.1%,5.1%
38,2008,-6.1%,0.2%,0.1%,0.1%,0.1%,0.2%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,-5.1%
39,2009,0.0%,0.0%,0.0%,0.0%,0.0%,-0.1%,7.5%,3.7%,3.5%,-1.9%,6.2%,1.9%,22.4%
40,2010,-3.6%,3.1%,6.1%,1.5%,-7.9%,-5.2%,6.8%,-4.5%,9.0%,3.8%,0.0%,6.7%,15.1%
41,2011,2.3%,3.5%,0.0%,2.9%,-1.1%,-1.7%,-2.0%,-5.5%,-6.9%,10.9%,-0.4%,1.0%,1.9%
42,2012,4.6%,4.3%,3.2%,-0.7%,-6.0%,4.1%,1.2%,2.5%,2.5%,-1.8%,0.6%,0.9%,16.0%
43,2013,5.1%,1.3%,3.8%,1.9%,2.4%,-1.3%,5.2%,-3.0%,3.2%,4.6%,3.0%,2.6%,32.3%
44,2014,-3.5%,4.6%,0.8%,0.7%,2.3%,2.1%,-1.3%,3.9%,-1.4%,2.4%,2.7%,-0.3%,13.5%
45,2015,-3.0%,5.6%,-1.6%,1.0%,1.3%,-2.0%,2.3%,-6.2%,0.0%,-0.1%,0.4%,-1.7%,-4.4%
46,2016,-5.1%,0.0%,-0.1%,0.4%,1.7%,0.3%,3.6%,0.1%,0.0%,-1.7%,3.7%,2.0%,4.9%
47,2017,1.8%,3.9%,0.1%,1.0%,1.4%,0.6%,2.1%,0.3%,2.0%,2.4%,3.1%,1.2%,21.7%
48,2018,5.6%,-3.6%,-2.7%,0.5%,3.2%,,,,,,,,2.7%
