,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
22,1993,1.9%,0.7%,0.9%,7.1%,1.8%,-1.4%,4.1%,4.1%,0.7%,6.9%,3.0%,13.7%,52.0%
23,1994,-2.5%,-1.9%,-8.4%,1.7%,-0.5%,-0.3%,0.3%,5.0%,0.6%,-0.6%,-2.6%,-2.0%,-11.1%
24,1995,0.7%,3.3%,1.9%,3.2%,3.9%,3.2%,1.8%,1.3%,1.6%,1.6%,1.5%,0.1%,26.8%
25,1996,2.0%,1.3%,-1.5%,5.5%,2.8%,-1.4%,-4.3%,0.1%,5.7%,2.4%,6.6%,-1.9%,18.1%
26,1997,4.0%,-3.3%,-3.6%,3.9%,4.1%,0.9%,11.6%,-3.9%,2.0%,-4.2%,1.7%,-0.7%,11.9%
27,1998,1.7%,3.8%,2.3%,1.4%,-2.2%,4.6%,1.6%,-11.1%,4.7%,-0.7%,0.9%,13.0%,19.9%
28,1999,12.4%,-8.6%,6.4%,2.6%,-3.0%,6.0%,-0.8%,1.5%,0.5%,4.9%,6.2%,12.8%,46.7%
29,2000,-1.7%,7.4%,2.7%,-9.1%,-8.6%,7.2%,-2.1%,4.2%,-6.9%,0.9%,2.5%,2.4%,-2.7%
30,2001,0.8%,1.3%,0.6%,-1.7%,0.2%,0.4%,2.9%,1.2%,2.5%,2.5%,-2.7%,-1.5%,6.5%
31,2002,1.3%,1.2%,-1.6%,1.5%,-0.1%,-1.3%,3.1%,2.5%,3.9%,-1.3%,-2.1%,3.5%,11.0%
32,2003,-0.8%,2.2%,-0.4%,0.2%,3.5%,-0.6%,-1.1%,5.7%,2.1%,6.7%,-1.6%,6.6%,24.4%
33,2004,1.1%,0.4%,5.7%,-6.9%,-0.9%,4.5%,-6.0%,2.0%,-0.1%,1.9%,5.4%,3.5%,10.2%
34,2005,-2.5%,7.5%,-6.0%,0.9%,2.4%,1.2%,1.2%,0.9%,8.2%,-3.1%,2.6%,6.3%,20.0%
35,2006,4.7%,-1.8%,3.2%,3.2%,-5.4%,-1.0%,0.9%,1.6%,-0.1%,2.4%,2.7%,1.7%,12.2%
36,2007,0.4%,-1.4%,0.3%,3.4%,3.1%,1.8%,1.2%,1.6%,8.1%,9.2%,-5.8%,-0.3%,22.8%
37,2008,1.9%,1.2%,1.3%,-2.4%,-1.5%,-2.5%,0.7%,1.5%,-0.1%,-0.9%,7.8%,5.2%,12.4%
38,2009,-3.9%,-0.7%,3.3%,-2.8%,-1.5%,0.3%,3.8%,-0.4%,6.8%,-2.0%,4.8%,4.1%,11.7%
39,2010,-4.4%,2.6%,4.5%,1.2%,-7.0%,2.3%,0.9%,2.5%,-0.0%,0.6%,-0.9%,1.2%,2.8%
40,2011,1.3%,3.8%,-4.2%,2.6%,-1.3%,-0.9%,1.1%,2.2%,2.2%,-1.3%,0.6%,2.0%,8.2%
41,2012,0.9%,-1.2%,-0.8%,-1.3%,2.0%,-0.4%,1.4%,-0.1%,-0.1%,-1.0%,0.7%,1.0%,1.2%
42,2013,0.6%,1.2%,3.9%,5.0%,-4.9%,-1.7%,2.3%,-1.8%,4.5%,2.7%,2.4%,1.8%,16.9%
43,2014,-2.3%,4.2%,-1.5%,0.3%,2.9%,2.3%,-0.2%,4.1%,-3.0%,2.2%,3.1%,-0.6%,11.8%
44,2015,2.9%,-1.3%,-1.1%,0.8%,1.7%,-1.8%,1.6%,-4.8%,1.6%,-0.7%,-0.0%,-1.1%,-2.5%
45,2016,-2.4%,1.5%,-0.1%,-0.3%,-0.1%,2.7%,0.2%,-0.3%,1.4%,-1.2%,-2.1%,1.2%,0.5%
46,2017,1.6%,2.8%,0.6%,1.6%,2.2%,-0.1%,2.6%,0.8%,0.7%,2.6%,2.2%,0.9%,20.1%
47,2018,6.4%,-3.9%,-2.0%,-1.0%,2.6%,,,,,,,,1.7%
