,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
32,2008,-0.4%,2.5%,0.1%,0.8%,1.4%,0.9%,-1.7%,-0.9%,-2.0%,-2.6%,1.6%,1.0%,0.4%
33,2009,-0.8%,-0.1%,0.7%,-0.5%,-0.4%,-0.2%,1.1%,1.1%,1.6%,-0.7%,3.8%,1.1%,6.8%
34,2010,-4.7%,2.9%,4.7%,2.3%,-6.4%,-2.0%,4.0%,-1.0%,2.7%,3.2%,-1.6%,4.8%,8.3%
35,2011,2.3%,3.2%,-0.2%,3.9%,-1.2%,-2.2%,0.8%,-3.5%,-6.4%,2.4%,-0.7%,0.7%,-1.3%
36,2012,1.6%,0.3%,1.3%,0.6%,-1.4%,1.4%,0.9%,0.4%,0.5%,-1.1%,0.7%,1.5%,6.9%
37,2013,2.5%,-0.7%,1.8%,3.0%,-2.2%,-1.4%,2.4%,-2.5%,2.5%,2.2%,-0.4%,0.9%,8.1%
38,2014,-1.2%,3.3%,-0.2%,1.2%,1.2%,1.3%,-1.8%,1.8%,-2.5%,2.7%,1.2%,0.4%,7.5%
39,2015,1.8%,-0.2%,0.2%,-1.3%,0.3%,-1.8%,1.2%,-3.2%,0.1%,0.8%,-0.1%,0.1%,-2.3%
40,2016,-0.8%,0.2%,-0.0%,-0.5%,0.7%,2.8%,0.8%,-0.8%,0.3%,-2.0%,-0.5%,2.0%,2.2%
41,2017,0.9%,1.6%,-0.4%,0.2%,0.8%,0.6%,1.2%,0.2%,1.2%,1.5%,1.4%,1.0%,10.5%
42,2018,1.5%,-2.2%,-0.2%,1.2%,1.4%,,,,,,,,1.7%
