,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
16,1986,2.1%,4.1%,4.7%,-0.0%,0.6%,2.5%,-1.2%,4.8%,-0.7%,0.1%,0.4%,-2.2%,16.1%
17,1987,4.4%,1.6%,1.0%,0.4%,-0.1%,1.8%,1.7%,0.3%,-1.3%,-4.4%,-0.5%,1.8%,6.8%
18,1988,1.4%,-0.1%,-0.1%,-0.6%,0.4%,1.7%,-0.7%,-1.2%,0.8%,2.5%,-0.4%,-0.3%,3.3%
19,1989,1.6%,-1.5%,0.8%,1.9%,1.4%,2.4%,2.9%,-0.5%,0.5%,1.1%,2.8%,0.4%,14.6%
20,1990,-1.8%,-0.1%,-1.8%,-1.3%,3.5%,-0.1%,1.5%,-2.5%,0.5%,-1.1%,3.2%,1.2%,1.2%
21,1991,0.4%,2.0%,0.3%,0.6%,1.5%,-1.0%,1.4%,0.8%,0.9%,0.5%,-0.4%,4.2%,11.7%
22,1992,-1.2%,0.4%,-1.5%,0.3%,1.0%,0.4%,3.2%,-1.3%,1.2%,-1.1%,0.8%,1.2%,3.5%
23,1993,0.7%,1.2%,1.4%,0.7%,2.1%,1.5%,2.5%,0.4%,-0.9%,1.9%,-1.2%,1.6%,12.5%
24,1994,0.9%,-2.0%,-1.6%,-0.9%,0.9%,-0.9%,1.5%,1.2%,-0.9%,-0.0%,-1.0%,0.8%,-2.2%
25,1995,1.1%,2.2%,1.9%,1.1%,3.4%,0.9%,0.2%,1.1%,2.1%,0.7%,2.5%,1.3%,20.0%
26,1996,2.1%,-1.6%,-0.2%,-0.3%,0.5%,0.0%,-0.8%,0.3%,1.7%,1.9%,2.8%,-1.6%,4.9%
27,1997,-0.3%,1.8%,-2.7%,1.5%,2.4%,1.0%,3.6%,-2.4%,2.9%,-1.1%,0.8%,0.7%,8.5%
28,1998,2.1%,1.3%,1.6%,1.0%,-1.0%,2.3%,-1.4%,-2.9%,4.9%,1.1%,2.0%,1.5%,13.0%
29,1999,1.0%,-2.0%,0.4%,1.7%,-2.3%,0.6%,-1.5%,-0.2%,3.5%,1.8%,-0.3%,1.1%,3.6%
30,2000,-1.1%,1.4%,2.2%,-1.5%,-0.5%,2.7%,-0.8%,2.4%,-2.0%,-0.3%,-0.3%,0.8%,2.9%
31,2001,0.6%,-1.8%,-2.3%,1.8%,0.2%,0.2%,0.4%,-0.0%,0.1%,0.7%,-0.4%,0.0%,-0.7%
32,2002,0.4%,1.1%,0.2%,0.1%,1.5%,-2.3%,-1.8%,2.5%,0.1%,-0.1%,1.0%,2.7%,5.3%
33,2003,0.7%,-0.8%,-1.2%,2.4%,4.9%,-1.4%,-1.5%,2.4%,1.7%,0.6%,1.3%,2.8%,12.4%
34,2004,0.2%,0.6%,1.8%,-4.4%,0.9%,0.7%,-0.6%,2.3%,1.0%,1.4%,1.8%,0.8%,6.5%
35,2005,-0.5%,0.9%,-0.9%,0.9%,0.7%,1.7%,-0.3%,1.0%,1.2%,-1.3%,2.8%,2.0%,8.5%
36,2006,2.9%,0.1%,0.4%,3.1%,-1.1%,-0.9%,1.6%,0.9%,-0.1%,1.5%,3.0%,-0.7%,11.0%
37,2007,0.9%,1.1%,-0.3%,2.0%,-0.3%,-1.0%,0.6%,1.2%,3.7%,2.8%,-0.1%,1.4%,12.6%
38,2008,1.8%,0.7%,-1.3%,-0.7%,-0.0%,-0.2%,-0.6%,-1.4%,-0.5%,-8.4%,5.9%,6.4%,0.9%
39,2009,-4.0%,-2.5%,2.0%,-0.2%,3.4%,-1.4%,2.9%,1.4%,3.1%,-0.1%,5.6%,-2.8%,7.1%
40,2010,-0.6%,1.5%,0.9%,2.7%,0.0%,0.9%,-0.1%,2.6%,2.5%,0.7%,0.1%,1.4%,13.3%
41,2011,-1.7%,2.7%,0.4%,3.6%,0.1%,-1.6%,2.7%,4.3%,-1.3%,2.6%,1.0%,-1.6%,11.4%
42,2012,3.8%,-0.2%,-0.6%,0.8%,-1.1%,1.2%,1.5%,1.5%,1.2%,-1.4%,0.3%,-1.0%,6.3%
43,2013,0.3%,-0.6%,1.2%,-0.2%,-2.4%,-3.5%,2.4%,-0.2%,0.1%,1.7%,-0.7%,-0.3%,-2.4%
44,2014,1.5%,2.9%,-0.5%,0.9%,0.5%,2.0%,-1.0%,2.3%,-2.4%,0.7%,1.4%,1.2%,9.7%
45,2015,3.8%,-1.8%,-0.7%,-0.6%,-0.1%,-1.9%,0.0%,-0.9%,-0.6%,2.5%,-1.8%,-0.7%,-2.9%
46,2016,1.5%,3.6%,1.3%,1.3%,-1.1%,4.3%,2.0%,-1.1%,-0.2%,-2.4%,-3.5%,-0.1%,5.4%
47,2017,2.0%,2.2%,-0.2%,1.1%,0.8%,-0.2%,1.0%,2.0%,-0.9%,0.4%,1.1%,1.3%,11.2%
48,2018,1.4%,-2.2%,0.2%,-0.6%,0.8%,,,,,,,,-0.4%
