,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
14,1987,2.2%,1.9%,3.8%,2.1%,0.5%,2.1%,2.8%,4.9%,-4.6%,-6.0%,-0.0%,1.8%,11.5%
15,1988,4.5%,1.4%,-1.1%,-0.9%,-1.0%,2.7%,-0.6%,-1.7%,2.8%,0.8%,-0.1%,1.3%,8.3%
16,1989,1.4%,1.2%,2.6%,5.1%,1.8%,0.3%,3.2%,0.5%,2.4%,-1.6%,0.6%,4.1%,23.6%
17,1990,-3.3%,0.1%,-0.7%,-1.7%,3.6%,1.7%,1.2%,-4.1%,0.9%,1.9%,3.3%,1.8%,4.5%
18,1991,1.0%,0.5%,1.5%,0.7%,2.2%,-2.9%,2.0%,2.7%,1.4%,1.4%,-1.6%,7.0%,16.9%
19,1992,0.9%,1.2%,-1.4%,-0.6%,2.1%,-1.1%,2.7%,-0.1%,2.3%,-1.8%,0.4%,2.3%,7.0%
20,1993,2.9%,2.4%,1.6%,0.8%,1.2%,1.3%,2.1%,2.7%,1.2%,2.1%,-4.2%,3.6%,18.8%
21,1994,1.5%,-1.0%,-5.4%,-0.1%,-0.3%,-0.6%,2.2%,0.5%,-1.9%,-0.0%,-1.1%,1.1%,-5.4%
22,1995,2.2%,3.2%,1.1%,2.1%,4.6%,1.8%,0.8%,0.7%,1.7%,0.6%,2.3%,1.3%,24.8%
23,1996,0.6%,0.1%,1.6%,3.7%,0.0%,0.2%,-2.5%,0.1%,3.5%,2.1%,4.5%,0.3%,15.0%
24,1997,2.1%,-1.5%,-2.2%,2.0%,2.8%,2.1%,5.2%,-2.3%,3.1%,0.4%,0.9%,1.0%,14.3%
25,1998,1.7%,1.4%,1.2%,0.5%,0.3%,1.9%,0.2%,3.5%,4.7%,-0.8%,-0.8%,1.3%,16.1%
26,1999,1.0%,-3.9%,1.1%,1.5%,-2.6%,2.0%,-0.3%,0.3%,0.9%,1.2%,1.1%,5.0%,7.2%
27,2000,-1.1%,4.4%,1.3%,-4.0%,-2.6%,2.8%,-1.0%,3.3%,-1.4%,-0.1%,2.5%,2.4%,6.3%
28,2001,0.8%,1.3%,0.6%,-1.7%,0.2%,0.5%,2.9%,1.2%,2.5%,2.5%,-2.7%,-1.4%,6.7%
29,2002,0.6%,1.1%,-2.9%,2.5%,0.5%,-1.4%,3.1%,2.5%,3.9%,-1.3%,-2.1%,3.5%,10.2%
30,2003,-0.8%,2.2%,-0.4%,0.0%,4.5%,-0.4%,4.6%,2.9%,1.1%,6.7%,1.6%,4.9%,30.2%
31,2004,2.4%,1.4%,3.1%,-6.0%,1.2%,2.1%,-2.4%,2.2%,1.8%,2.7%,3.5%,1.3%,13.8%
32,2005,-2.9%,4.2%,-2.0%,-1.0%,1.2%,2.3%,3.2%,0.2%,3.4%,-3.3%,2.6%,2.6%,10.7%
33,2006,8.3%,-1.3%,3.9%,2.4%,-3.1%,-0.0%,1.8%,1.0%,-0.4%,3.6%,3.7%,0.7%,22.2%
34,2007,2.6%,-1.3%,1.3%,3.5%,3.0%,-1.4%,-0.5%,1.7%,5.1%,5.8%,-2.8%,0.8%,18.8%
35,2008,0.4%,1.2%,1.3%,-2.4%,-1.8%,0.4%,0.7%,1.5%,-0.1%,-0.9%,7.8%,5.2%,13.7%
36,2009,-3.9%,-0.7%,3.3%,-2.7%,-2.1%,-0.6%,0.7%,0.7%,3.1%,-2.9%,4.9%,0.7%,0.2%
37,2010,-4.3%,3.0%,5.7%,2.8%,-4.4%,0.6%,0.8%,2.2%,-0.2%,2.9%,-1.3%,5.6%,13.7%
38,2011,-0.2%,3.3%,0.2%,3.6%,-1.2%,-2.8%,0.7%,-2.4%,1.1%,-1.3%,0.6%,2.0%,3.4%
39,2012,0.8%,-0.6%,0.6%,1.7%,0.8%,-0.4%,1.5%,0.0%,0.1%,-1.1%,0.6%,1.5%,5.5%
40,2013,2.7%,0.4%,1.7%,2.7%,-1.5%,-2.3%,0.5%,-1.7%,1.8%,0.7%,0.1%,-1.4%,3.4%
41,2014,2.0%,1.6%,-0.6%,0.6%,1.9%,1.1%,-1.6%,2.6%,-2.6%,2.2%,1.4%,0.2%,8.9%
42,2015,4.3%,-2.2%,0.7%,-0.8%,-0.1%,-2.0%,1.5%,-1.0%,1.6%,-0.6%,-0.4%,-0.6%,-0.0%
43,2016,3.3%,1.5%,-0.1%,-0.2%,-0.2%,3.3%,0.7%,-1.0%,0.5%,-2.8%,-2.5%,0.1%,2.6%
44,2017,1.3%,1.4%,0.3%,1.5%,1.8%,0.0%,1.6%,0.7%,0.5%,2.8%,1.6%,1.2%,15.7%
45,2018,5.9%,-3.4%,0.1%,-0.7%,1.3%,,,,,,,,3.0%
