,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
37,2008,1.1%,1.2%,1.1%,-2.4%,-1.3%,-1.2%,0.7%,1.5%,-0.1%,-0.9%,7.8%,5.2%,12.9%
38,2009,-3.9%,-0.7%,3.3%,-2.8%,-1.1%,1.4%,4.0%,0.1%,4.0%,-1.2%,3.1%,4.1%,10.4%
39,2010,-4.0%,2.6%,4.6%,1.2%,-7.0%,2.0%,1.1%,1.7%,0.6%,1.3%,-0.9%,0.7%,3.4%
40,2011,0.9%,3.4%,-3.8%,2.4%,-0.0%,-0.9%,1.9%,-1.2%,1.9%,-1.3%,0.2%,1.8%,5.1%
41,2012,1.2%,-0.4%,-0.5%,-0.6%,1.2%,-0.2%,1.3%,0.3%,-0.1%,-0.9%,0.7%,-0.1%,2.2%
42,2013,-0.6%,0.8%,3.1%,3.6%,-3.2%,-1.2%,2.7%,-1.9%,4.6%,2.9%,2.2%,1.7%,15.5%
43,2014,-2.8%,3.7%,-1.4%,0.4%,2.6%,1.1%,-0.5%,3.3%,-2.9%,1.9%,1.1%,-0.3%,6.0%
44,2015,2.8%,-0.0%,0.0%,0.7%,1.1%,-1.8%,1.8%,-4.7%,1.6%,-0.7%,-0.2%,-1.0%,-0.5%
45,2016,-0.4%,1.5%,-0.1%,-0.4%,-0.0%,2.4%,0.5%,0.1%,1.1%,-1.2%,-2.1%,1.2%,2.4%
46,2017,1.9%,2.8%,0.5%,1.4%,1.8%,0.5%,1.6%,0.2%,1.3%,2.6%,1.9%,0.9%,18.7%
47,2018,6.2%,-3.7%,-2.1%,-0.9%,2.2%,,,,,,,,1.3%
